constraintNamt,processEntity,time,output
c1: An order must be delivered in 72,o156,600,ok
c1: An order must be delivered in 72,o167,600,ok
c1: An order must be delivered in 72,o100,600,nok
c1: An order must be delivered in 72,o166,600,ok
c1: An order must be delivered in 72,o110,600,nok
c1: An order must be delivered in 72,o165,600,ok
c1: An order must be delivered in 72,o120,600,nok
c1: An order must be delivered in 72,o164,600,ok
c1: An order must be delivered in 72,o159,600,ok
c1: An order must be delivered in 72,o158,600,ok
c1: An order must be delivered in 72,o169,600,ok
c1: An order must be delivered in 72,o168,600,ok
c1: An order must be delivered in 72,o90,624,nok
c1: An order must be delivered in 72,o170,624,ok
c1: An order must be delivered in 72,o130,624,nok
c1: An order must be delivered in 72,o174,624,ok
c1: An order must be delivered in 72,o173,624,ok
c1: An order must be delivered in 72,o150,624,ok
c1: An order must be delivered in 72,o172,624,ok
c1: An order must be delivered in 72,o171,624,ok
c1: An order must be delivered in 72,o167,624,ok
c1: An order must be delivered in 72,o100,624,nok
c1: An order must be delivered in 72,o166,624,ok
c1: An order must be delivered in 72,o165,624,ok
c1: An order must be delivered in 72,o120,624,nok
c1: An order must be delivered in 72,o164,624,ok
c1: An order must be delivered in 72,o169,624,ok
c1: An order must be delivered in 72,o168,624,ok
c1: An order must be delivered in 72,o80,624,nok
c1: An order must be delivered in 72,o163,624,ok
c1: An order must be delivered in 72,o140,624,nok
c1: An order must be delivered in 72,o160,624,ok
c1: An order must be delivered in 72,o178,624,ok
c1: An order must be delivered in 72,o177,624,ok
c1: An order must be delivered in 72,o110,624,nok
c1: An order must be delivered in 72,o176,624,ok
c1: An order must be delivered in 72,o175,624,ok
c1: An order must be delivered in 72,o179,624,ok
c1: An order must be delivered in 72,o170,648,ok
c1: An order must be delivered in 72,o130,648,nok
c1: An order must be delivered in 72,o174,648,ok
c1: An order must be delivered in 72,o173,648,ok
c1: An order must be delivered in 72,o150,648,nok
c1: An order must be delivered in 72,o172,648,ok
c1: An order must be delivered in 72,o171,648,ok
c1: An order must be delivered in 72,o100,648,nok
c1: An order must be delivered in 72,o188,648,ok
c1: An order must be delivered in 72,o165,648,ok
c1: An order must be delivered in 72,o187,648,ok
c1: An order must be delivered in 72,o120,648,nok
c1: An order must be delivered in 72,o186,648,ok
c1: An order must be delivered in 72,o80,648,nok
c1: An order must be delivered in 72,o181,648,ok
